name,lat,lon
NA,50.2094867,19.0011789
NA,50.2097073,19.0034173
NA,50.2094442,19.0015244
NA,50.2097769,19.0000899
NA,50.2097887,18.9999996
NA,50.209885,18.9996254
NA,50.2100238,18.9995117
NA,50.2101393,18.9994737
NA,50.2098663,18.9996403
NA,50.2104569,18.9971916
NA,50.2108126,18.996991
NA,50.2113362,18.9967462
NA,50.2117369,18.9986649
NA,50.2121217,19.0004753
NA,50.212302,19.0013747
NA,50.2110633,19.0035705
NA,50.2110919,19.0040527
NA,50.211287,19.00293
NA,50.2121988,19.0025851
NA,50.212226,19.0014693
NA,50.2123261,19.002533
NA,50.2123658,19.0024344
NA,50.2123103,19.0014432
NA,50.2118502,18.9991998
NA,50.2120445,19.0000962
NA,50.2107427,19.0052412
NA,50.2110067,19.0051588
NA,50.2108598,19.0041584
NA,50.2110133,19.0031458
NA,50.2110276,19.0035853
NA,50.2112112,19.0030306
NA,50.2100069,19.0054722
NA,50.2262733,18.9896841
NA,50.2262826,18.98953
NA,50.2266576,18.9897499
NA,50.2266684,18.9895957
NA,50.2430472,19.0176132
NA,50.1966336,19.0392741
NA,50.1958716,19.039377
NA,50.1953932,19.0399899
NA,50.1964412,19.0424297
NA,50.1978764,19.0390448
NA,50.1977752,19.0390804
NA,50.1977473,19.0389301
NA,50.1979321,19.0417298
NA,50.1978739,19.0413471
NA,50.1981887,19.0412005
NA,50.1981822,19.0408857
NA,50.1981561,19.040635
NA,50.2669551,18.8992907
NA,50.2669559,18.8990256
NA,50.2669564,18.8988521
NA,50.267039,18.8988528
NA,50.267178,18.8992932
NA,50.2671782,18.8992496
NA,50.2671784,18.8992026
NA,50.2671784,18.8992105
NA,50.2671786,18.8991577
NA,50.2671786,18.8991631
NA,50.2671788,18.8991118
NA,50.2671788,18.8991238
NA,50.2671789,18.8990934
NA,50.267179,18.8990699
NA,50.2671792,18.89903
NA,50.2671796,18.8989445
NA,50.2671799,18.8989031
NA,50.2671801,18.898854
NA,50.2548403,18.9045033
NA,50.2548438,18.9043215
NA,50.2549337,18.9046426
NA,50.2549363,18.9045079
NA,50.254943,18.904386
NA,50.2549442,18.9043263
NA,50.2550413,18.9044961
NA,50.2550433,18.9043907
NA,50.255057,18.9046484
NA,50.2550599,18.9044969
NA,50.2549737,18.9043874
NA,50.2719393,18.8934024
NA,50.2719845,18.8936701
NA,50.2720116,18.8932702
NA,50.2720276,18.8933656
NA,50.2720541,18.8935292
NA,50.2720949,18.8935124
NA,50.2721127,18.8936171
NA,50.2721763,18.8932022
NA,50.2722206,18.8934607
NA,50.2723374,18.8931356
NA,50.2723811,18.8933948
NA,50.2724535,18.8951193
NA,50.2724536,18.8951397
NA,50.2724538,18.8950096
NA,50.2724545,18.8952365
NA,50.2725392,18.8950076
NA,50.2726489,18.895007
NA,50.2726506,18.8952309
NA,50.2726729,18.8950047
NA,50.272673,18.895012
